country_code,channel_id,media_channel,ad_type,month_,spend,impressions,clicks,link_clicks,engagements,likes,video_views,video_watched_2s,purchases,leads,follows,rn
ID,18,,CI Follows,202503,376.77,32306,9208,0,9208,3443,31471,14610,0,0,5584,1
FR,1,,Conversion,202505,321.29,41036,851,563,596,2,0,0,176,0,2,1
AU,1,,Conversion,202505,2314.43,314121,7674,5230,5547,9,3,0,3064,0,9,1
SA,1,,Conversion,202505,331.9,213845,1924,1994,2024,1,0,0,219,0,1,1
HK,1,,Conversion,202505,17031.27,3633098,30310,23130,25003,18,207,0,5946,0,18,1
TW,1,,Conversion,202505,29466.1499,15836837,144400,99518,101636,79,5,0,18280,0,79,1
SG,1,,Conversion,202505,2618.7,528197,4672,3428,3553,0,0,0,795,0,0,1
ES,1,,Conversion,202505,209.75,46107,777,647,667,0,0,0,202,0,0,1
GB,1,,Conversion,202505,13175.47,1845784,23586,15623,16887,68,12,0,5078,0,68,1
ID,1,,Conversion,202505,194.1,253473,1870,1511,1609,0,0,0,173,0,0,1
KR,1,,Conversion,202505,42070.12,7125872,35425,31191,32935,14,128,0,10188,0,14,1
JP,1,,Conversion,202505,12023.29,1644486,14714,12868,13656,3,224,0,3851,0,3,1
TH,1,,Conversion,202505,40900.41,54390591,271451,194287,208856,945,249,0,26263,0,945,1
MY,1,,Conversion,202505,7722.07,5930156,24916,17264,18409,61,8,0,3224,0,61,1
US,1,,Conversion,202505,17213.1,982999,23294,17851,19526,128,0,0,7464,0,128,1
AU,1,,Conversion,202504,1024.38,125377,3866,2641,2775,2,0,0,1491,0,2,16
KR,1,,Conversion,202504,43356.4,6836631,37511,31775,33272,14,3,0,8937,0,14,16
TH,1,,Conversion,202504,29636.09,45540702,166572,105471,117364,919,1,0,16622,0,919,16
PH,1,,Conversion,202504,213.71,1159121,5088,4506,4574,0,0,0,554,0,0,16
MY,1,,Conversion,202504,4135.65,3556609,13979,9593,10592,49,37,0,1601,0,49,16
SG,1,,Conversion,202504,466.39,175895,1133,976,992,0,0,0,96,0,0,16
GB,1,,Conversion,202504,12672.14,1701202,30043,18076,19155,74,0,0,6173,0,74,16
JP,1,,Conversion,202504,5018.02,590030,5468,4600,4841,0,0,0,1593,0,0,16
TW,1,,Conversion,202504,25670.6,17638009,104875,85962,87546,63,1,0,11936,0,63,16
US,1,,Conversion,202504,13230.11,747500,18355,14010,15273,92,0,0,5670,0,92,16
HK,1,,Conversion,202504,7333.8,1829532,11699,8437,8914,9,21,0,1384,0,9,16
CN,1,,Conversion,202504,0.01,1,0,0,0,0,0,0,0,0,0,16
TW,1,,Conversion,202503,27636.28,14052727,94112,69923,71819,59,0,0,15698,0,59,29
HK,1,,Conversion,202503,34049.88,7024730,64294,38615,40169,29,1,0,10325,0,29,29
US,1,,Conversion,202503,27094.36,2046033,35106,26560,28596,139,0,0,11398,0,139,29
MY,1,,Conversion,202503,2263.3,1422749,6432,4345,4839,28,29,0,959,0,28,29
SA,1,,Conversion,202503,1375.99,1178923,12787,11817,12026,0,0,0,1,0,0,29
KR,1,,Conversion,202503,86166.78,12605727,94329,82063,85053,10,0,0,44952,0,10,29
JP,1,,Conversion,202503,9746.09,1170891,8318,6712,7210,0,0,0,2229,0,0,29
SG,1,,Conversion,202503,10281.05,1782332,19042,11814,12323,9,0,0,3096,0,9,29
FR,1,,Conversion,202503,174.18,29666,427,374,391,0,0,0,0,0,0,29
GB,1,,Conversion,202503,21117.21,2804353,39218,23434,24772,76,0,0,8695,0,76,29
AU,1,,Conversion,202503,2613.57,340046,8218,5696,5997,2,0,0,3066,0,2,29
TH,1,,Conversion,202503,53433.65,91679225,264767,180573,192081,844,0,0,26076,0,844,29
PH,1,,Conversion,202503,957.86,1135131,14222,10903,11230,0,0,0,9,0,0,29
ES,1,,Conversion,202503,197.18,36886,379,315,336,0,0,0,0,0,0,29
DE,1,,Conversion,202503,197.31,24743,443,363,381,2,0,0,0,0,2,29
TW,1,,Conversion,202502,23624.74,16919482,92956,68594,70427,64,68,0,14462,0,64,45
AE,1,,Conversion,202502,210.01,169411,473,323,346,0,0,0,0,0,0,45
TH,1,,Conversion,202502,36436.54,64008968,184969,130952,139627,780,0,0,21527,0,780,45
US,1,,Conversion,202502,27175.29,2580559,50915,36588,39356,204,0,0,18136,0,204,45
SG,1,,Conversion,202502,627.69,92964,995,528,604,3,0,0,2,0,3,45
JP,1,,Conversion,202502,10287.3,1568436,14034,11215,11793,1,35,0,3399,0,1,45
AU,1,,Conversion,202502,3657.95,563345,15267,10279,10802,0,0,0,5945,0,0,45
KR,1,,Conversion,202502,51505.61,11266289,48964,41073,43464,6,0,0,12092,0,6,45
PH,1,,Conversion,202502,246.48,1193806,7041,6374,6439,0,0,0,0,0,0,45
MY,1,,Conversion,202502,726.78,636016,3288,2168,2290,14,21,0,331,0,14,45
GB,1,,Conversion,202502,28104.89,4250811,64431,35540,37640,124,0,0,14590,0,124,45
HK,1,,Conversion,202502,11782.3,2644898,27600,20100,20783,10,1,0,4835,0,10,45
KR,1,,Conversion,202501,50335.94,11889122,48707,41812,44172,3,0,0,13728,0,3,58
SG,1,,Conversion,202501,509.42,103114,695,560,579,1,0,0,2,0,1,58
HK,1,,Conversion,202501,21572.57,4801624,43681,32431,33694,17,4,0,7667,0,17,58
TW,1,,Conversion,202501,47582.17,28758249,158453,118772,123092,69,720,0,21378,0,69,58
JP,1,,Conversion,202501,9340.29,1649362,14015,11516,12263,0,198,0,3521,0,0,58
US,1,,Conversion,202501,21547.63,2661106,58429,41298,43865,88,0,0,21409,0,88,58
GB,1,,Conversion,202501,29305.1,4131317,87867,49012,51117,3,0,0,18344,0,3,58
AU,1,,Conversion,202501,7211.09,1364630,35171,22168,23815,0,0,0,11824,0,0,58
MY,1,,Conversion,202501,7163.39,4232286,17117,10986,13334,77,1154,0,1166,0,77,58
TH,1,,Conversion,202501,36817.67,54092214,193528,140603,150327,801,0,0,25430,0,801,58
AU,1,FB,Conversion,202505,1473.55,278808,1043,602,635,2,0,0,242,0,2,1
US,1,FB,Conversion,202505,3116.84,264548,826,598,637,1,0,0,1428,0,1,1
CN,1,FB&IG,Conversion,202505,0.03,3,0,0,0,0,0,0,0,0,0,1
TH,1,FB&IG,Conversion,202505,7167.91,7711994,62979,40995,43147,93,24,0,6737,0,93,1
FR,1,FB&IG,Conversion,202505,210.43,35490,598,424,451,0,0,0,131,0,0,1
IQ,1,FB&IG,Conversion,202505,0.02,3,0,0,0,0,0,0,0,0,0,1
OM,1,FB&IG,Conversion,202505,0.01,2,0,0,0,0,0,0,0,0,0,1
JP,1,FB&IG,Conversion,202505,34698.61,5098902,52528,47469,48891,23,405,0,12598,0,23,1
SG,1,FB&IG,Conversion,202505,6720.49,1979912,12010,10362,10642,3,8,0,1908,0,3,1
EG,1,FB&IG,Conversion,202505,0.42,39,0,0,0,0,0,0,0,0,0,1
US,1,FB&IG,Conversion,202505,456.18,33125,688,498,569,1,3,0,190,0,1,1
ID,1,FB&IG,Conversion,202505,258.03,243306,2106,1643,1901,0,152,0,283,0,0,1
AU,1,FB&IG,Conversion,202505,9081.92,1381921,14328,11152,11986,25,12,0,4017,0,25,1
ES,1,FB&IG,Conversion,202505,423.42,91621,1196,858,895,2,0,0,242,0,2,1
QA,1,FB&IG,Conversion,202505,0.03,4,0,0,0,0,0,0,0,0,0,1
GB,1,FB&IG,Conversion,202505,429.4,53029,1474,1003,1029,0,0,0,331,0,0,1
TW,1,FB&IG,Conversion,202505,147402.06,47902124,326876,251861,260251,258,128,0,60301,0,258,1
HK,1,FB&IG,Conversion,202505,59790.89,16024781,101758,80373,83658,68,327,0,19316,0,68,1
ZA,1,FB&IG,Conversion,202505,0.02,1,0,0,0,0,0,0,0,0,0,1
SA,1,FB&IG,Conversion,202505,12596.25,12484422,71126,48166,51603,175,5,0,86,0,175,1
BH,1,FB&IG,Conversion,202505,1.44,3,0,0,0,0,0,0,0,0,0,1
JO,1,FB&IG,Conversion,202505,0.03,2,0,0,0,0,0,0,0,0,0,1
KR,1,FB&IG,Conversion,202505,65859.08,9885886,64779,58562,61392,7,200,0,25607,0,7,1
KW,1,FB&IG,Conversion,202505,0.07,5,0,0,0,0,0,0,0,0,0,1
JP,1,FB&IG,Conversion,202504,19956.84,2800551,35507,32034,32553,1,3,0,7762,0,1,24
SA,1,FB&IG,Conversion,202504,6815.46,10138092,63568,39812,43624,53,0,0,32,0,53,24
SG,1,FB&IG,Conversion,202504,3785.52,1097435,6364,5423,5577,1,1,0,960,0,1,24
TH,1,FB&IG,Conversion,202504,4129.48,4967599,35814,25674,26895,12,0,0,2967,0,12,24
PH,1,FB&IG,Conversion,202504,213.55,454477,4648,3648,3741,1,0,0,308,0,1,24
US,1,FB&IG,Conversion,202504,761.62,75710,1677,1221,1376,7,0,0,433,0,7,24
HK,1,FB&IG,Conversion,202504,26420.57,7173868,48308,34742,36134,21,113,0,6690,0,21,24
TW,1,FB&IG,Conversion,202504,70865.98,25616479,151912,116471,121183,165,4,0,29537,0,165,24
GB,1,FB&IG,Conversion,202504,9399.96,1201158,26932,14082,14594,48,0,0,5072,0,48,24
KR,1,FB&IG,Conversion,202504,30615.61,4398298,31773,27981,29139,2,5,0,10484,0,2,24
AU,1,FB&IG,Conversion,202504,3292.43,479750,6620,4682,5005,9,1,0,2520,0,9,24
TW,1,FB&IG,Conversion,202503,86373.36,30389904,180510,133894,138777,161,0,0,39823,0,161,36
KR,1,FB&IG,Conversion,202503,46601.25,6235014,44826,39335,40829,2,0,0,19219,0,2,36
PH,1,FB&IG,Conversion,202503,972.81,1072315,12327,8106,8483,1,0,0,4,0,1,36
HK,1,FB&IG,Conversion,202503,47795.96,9978025,86769,52093,54190,22,28,0,15345,0,22,36
JP,1,FB&IG,Conversion,202503,14815.33,2071604,23700,21452,21733,0,0,0,6553,0,0,36
CN,1,FB&IG,Conversion,202503,0.01,1,0,0,0,0,0,0,0,0,0,36
AU,1,FB&IG,Conversion,202503,6595.05,1082855,14946,10269,10991,7,0,0,5971,0,7,36
FR,1,FB&IG,Conversion,202503,117.59,20790,326,274,286,2,0,0,0,0,2,36
US,1,FB&IG,Conversion,202503,1088.6,86747,1289,895,980,0,0,0,135,0,0,36
SG,1,FB&IG,Conversion,202503,8912.33,1286083,13920,7569,7916,8,0,0,2372,0,8,36
TH,1,FB&IG,Conversion,202503,17633.62,15361478,123640,80517,84245,150,0,0,11681,0,150,36
DE,1,FB&IG,Conversion,202503,202.89,24047,381,326,338,1,0,0,0,0,1,36
GB,1,FB&IG,Conversion,202503,7559.13,1136807,19855,8628,9002,142,0,0,2953,0,142,36
ES,1,FB&IG,Conversion,202503,198.53,48506,395,318,339,0,0,0,0,0,0,36
SA,1,FB&IG,Conversion,202503,7762.58,3052043,26054,13403,15205,27,0,0,8,0,27,36
TW,1,FB&IG,Conversion,202502,72613.82,31550576,221905,144893,151354,254,0,0,38272,0,254,52
