country_code,stage,channel_id,media_channel,ad_type,spend,CPM,impressions,CPV,video_views,CPE,engagements,CPF,follows
TH,1st,1,FB,Reach,6644.27,0.3,21917499,0.0076,869275,0.0075,883783,899.45,7
TH,1st,3,,VRC 2.0,390.84,0.31,1261789,0.0009,452463,0.0047,83513,,
TH,1st,18,TT,Reach,781.68,0.31,2523578,0.0009,904925,0.0047,167025,,
TH,1st,1,FB,Post Engagement,37893.13,1.04,36448312,0.0027,14239699,0.0026,14383634,2038.67,19
TH,1st,1,IG,Post Engagement,6687.02,1.94,3445191,0.0106,632864,0.0099,678528,,
TH,1st,1,FB,Page Likes,15750,0.96,16412980,0.0103,1523359,0.01,1570596,0.87,18189
TH,1st,3,,Demand Gen,25200,0.31,81355869,0.0009,29173243,0.0047,5384615,0.61,41501
TH,1st,18,TT,CI Follows,22050,8.51,2589745,0.0088,2509283,0.1458,151194,0.41,54222
TH,1st,1,FB,Video Views,2564.89,2.72,944004,0.0033,769922,0.0033,772158,4957.1,1
TH,1st,3,,VVC,2564.89,0.31,8280494,0.0009,2969286,0.0047,548052,,
TH,1st,18,TT,Video Views,20519.08,1.15,17905456,0.0012,17587456,0.4024,50992,10.49,1956
MY,1st,1,FB,Reach,6644.27,0.29,22866112,0.0149,446655,0.0145,458321,767.73,9
MY,1st,3,,VRC 2.0,390.84,0.31,1261789,0.0009,452463,0.0047,83513,,
MY,1st,18,TT,Reach,781.68,0.31,2523578,0.0009,904925,0.0047,167025,,
MY,1st,1,FB,Post Engagement,37893.13,1.59,23818991,0.0048,7897543,0.0047,8092508,799.5,47
MY,1st,1,IG,Post Engagement,6687.02,3.19,2097423,0.0125,533425,0.0116,578856,,
MY,1st,1,FB,Page Likes,6720,0.69,9779345,0.0266,252602,0.0253,265402,0.46,14698
MY,1st,3,,Demand Gen,11760,0.31,37966072,0.0009,13614180,0.0047,2512821,0.61,19367
MY,1st,18,TT,CI Follows,23520,3.82,6155877,0.0039,6000963,0.1676,140313,0.55,42467
MY,1st,1,FB,Video Views,2564.89,3.13,818188,0.005,515160,0.005,516460,,
MY,1st,3,,VVC,2564.89,0.31,8280494,0.0009,2969286,0.0047,548052,,
MY,1st,18,TT,Video Views,20519.08,0.9,22914531,0.0009,22487220,0.3177,64587,7.97,2576
PH,1st,1,FB,Reach,6644.27,0.13,51119162,0.0028,2403733,0.0027,2432178,297,22
PH,1st,3,,VRC 2.0,390.84,0.28,1395855,0.0009,452463,0.0047,83513,,
PH,1st,18,TT,Reach,781.68,0.28,2791711,0.0009,904925,0.0047,167025,,
PH,1st,1,FB,Post Engagement,37893.13,0.49,77520649,0.0016,24365575,0.0015,24976943,160.27,236
PH,1st,1,IG,Post Engagement,6687.02,1.09,6108228,0.0044,1524514,0.0043,1572297,,
PH,1st,1,FB,Page Likes,11200,0.34,32757146,0.0755,148334,0.057,196409,0.17,64830
PH,1st,3,,Demand Gen,5600,0.28,20000000,0.0009,6482943,0.0047,1196581,0.21,26667
PH,1st,18,TT,CI Follows,18200,4.42,4118833,0.0046,3983965,0.0869,209376,0.22,83034
PH,1st,1,FB,Video Views,2564.89,1.62,1583023,0.0022,1152649,0.0022,1154937,9239.14,
PH,1st,3,,VVC,2564.89,0.28,9160304,0.0009,2969286,0.0047,548052,,
PH,1st,18,TT,Video Views,20519.08,0.57,35880229,0.0006,35032061,0.1776,115509,3.92,5236
VN,1st,1,FB,Reach,4152.68,0.31,13406527,0.0009,4807420,0.0047,887324,,
VN,1st,3,,VRC 2.0,244.28,0.31,788619,0.0009,282789,0.0047,52196,,
VN,1st,18,TT,Reach,488.55,0.31,1577238,0.0009,565579,0.0047,104391,,
VN,1st,1,FB,Post Engagement,23683.21,0.31,76459052,0.0009,27417303,0.0047,5060515,,
VN,1st,1,IG,Post Engagement,4179.39,0.31,13492774,0.0009,4838348,0.0047,893032,,
VN,1st,1,FB,Page Likes,0,0.31,0,0.0009,0,0.0047,0,0.61,0
VN,1st,3,,Demand Gen,0,0.31,0,0.0009,0,0.0047,0,0.61,0
VN,1st,18,TT,CI Follows,0,0.31,0,0.0009,0,0.0047,0,0.61,0
VN,1st,1,FB,Video Views,1603.05,0.31,5175308,0.0009,1855804,0.0047,342533,,
VN,1st,3,,VVC,1603.05,0.31,5175308,0.0009,1855804,0.0047,342533,,
VN,1st,18,TT,Video Views,12824.42,0.31,41402466,0.0009,14846430,0.0047,2740262,,
IN,1st,1,FB,Reach,7035.11,0.05,152560559,0.0036,1948388,0.0034,2096941,125.24,56
IN,1st,3,,VRC 2.0,781.68,0.05,15633580,0.0009,904925,0.0047,167025,,
IN,1st,1,FB,Post Engagement,37893.13,0.15,249406478,0.0009,42610895,0.0009,44361239,254.69,149
