Region,Country,Project,Media,Product,Stage,Objective,Landing Page,Creative,Ad format,Scheduled / Active,Start date,End date,Duration(D),"Budget
Allocation",Budget,Daily Budget,"Buying Model
Key Measurement",Estimated CPM,Estimated CPC,Estimated CPV,Estimated Impressions,Estimated Clicks,Estimated Click Through Rate,Estimated Video Views
,SG,,Meta,P1P3,Preheat for local,Traffic,mi.com,Image/Video,Traffic,FALSE,2026/2/23,2026/3/6,12,15.00%,"$2,163.46 ",$180.29 ,CPC,$1.50 ,$0.13 ,$0.02 ,"1,442,308","16,642",1.02%,"90,144"
,,,Meta,P1,Open Sale,Traffic,mi.com,Image/Video,Traffic,FALSE,2026/3/6,2026/3/23,18,24.50%,"$3,533.65 ",$196.31 ,CPC,$1.20 ,$0.13 ,$0.02 ,"2,944,712","27,182",1.02%,"147,236"
,,,Meta,P3,Open Sale,Traffic,mi.com,Image/Video,Traffic,FALSE,2026/3/6,2026/3/23,18,10.50%,"$1,514.42 ",$84.13 ,CPC,$1.20 ,$0.13 ,$0.02 ,"1,262,019","11,649",1.02%,"63,101"
,,,Meta,P1P3,Sustain,Traffic,mi.com,Image/Video,Traffic,FALSE,2026/3/25,2026/5/31,68,50.00%,"$7,211.54 ",$106.05 ,CPC,$1.50 ,$0.13 ,$0.02 ,"4,807,692","55,473",1.02%,"300,481"
,,,Google,P1P3,Preheat for local,Traffic,mi.com,Text,Search,FALSE,2026/2/23,2026/3/6,12,11.00%,"$4,714.29 ",$392.86 ,CPC,$16.00 ,$0.20 ,-,"294,643","23,571",8.00%,-
,,,Google,P1P3,Preheat for local,Traffic,mi.com,Image/Video,Demand Gen,FALSE,2026/2/23,2026/3/6,12,15.00%,"$6,428.57 ",$535.71 ,CPC,$0.60 ,$0.06 ,$0.18 ,"10,714,286","107,143",1.00%,"35,714"
,,,Google,P1P3,Open Sale,Traffic,mi.com,Text,Search,FALSE,2026/3/6,2026/3/23,18,16.00%,"$6,857.14 ",$380.95 ,CPC,$16.00 ,$0.20 ,-,"428,571","34,286",8.00%,-
,,,Google,P1,Open Sale,Awareness,mi.com,Video,VRC2.0,FALSE,2026/3/6,2026/3/23,18,3.50%,"$1,500.00 ",$83.33 ,CPM,$1.80 ,$3.50 ,$0.02 ,"833,333",429,0.05%,"83,333"
,,,Google,P3,Open Sale,Awareness,mi.com,Video,VRC2.0,FALSE,2026/3/6,2026/3/23,18,1.50%,$642.86 ,$35.71 ,CPM,$1.80 ,$3.50 ,$0.02 ,"357,143",184,0.05%,"35,714"
,,,Google,P1,Open Sale,Traffic,mi.com,Image/Video,Demand Gen,FALSE,2026/3/6,2026/3/23,18,17.50%,"$7,500.00 ",$416.67 ,CPC,$0.60 ,$0.06 ,$0.18 ,"12,500,000","125,000",1.00%,"41,667"
,,,Google,P3,Open Sale,Traffic,mi.com,Image/Video,Demand Gen,FALSE,2026/3/6,2026/3/23,18,7.50%,"$3,214.29 ",$178.57 ,CPC,$0.60 ,$0.06 ,$0.18 ,"5,357,143","53,571",1.00%,"17,857"
,,,Google,P1,Sustain,Traffic,mi.com,Image/Video,Demand Gen,FALSE,2026/3/25,2026/5/31,68,19.60%,"$8,400.00 ",$123.53 ,CPC,$0.60 ,$0.06 ,$0.18 ,"14,000,000","140,000",1.00%,"46,667"
,,,Google,P3,Sustain,Traffic,mi.com,Image/Video,Demand Gen,FALSE,2026/3/25,2026/5/31,68,8.40%,"$3,600.00 ",$52.94 ,CPC,$0.60 ,$0.06 ,$0.18 ,"6,000,000","60,000",1.00%,"20,000"
