Region,Country,Project,Media,Smartphone Type,Media Channel,Budget Source,Stage,Objective,Ad format,BLS Eligibility,Start date,End date,Duration(D),"Budget
Allocation",Budget,Daily Budget,"Buying Model
Key Measurement",Estimated CPM,Estimated CPV,Estimated CPC,Estimated CPA,Estimated ROI,Estimated Impressions,Estimated Views,Estimated Clicks,Estimated Click Through Rate,Estimated Paid User,"Estimated 
Purchase Value"
WE,ES,O12UO12A,Meta,O12UO12A,FB&IG,Local,Early Bird,Awareness,Image&Video Link Ads,FALSE,2025/9/24,2025/10/11,18,17.25%,"37,091","$2,061 ",CPM,$0.77 ,-,-,-,-,"48,024,174",-,-,-,-,-
WE,ES,,Meta,,FB&IG,Local,Early Bird,Video Views,Video Link Ads,FALSE,2025/9/24,2025/10/11,18,9.82%,"21,117","$1,173 ",CPV,$7.47 ,$0.01 ,-,-,-,"2,828,605","1,624,383",-,-,-,-
WE,ES,,Meta,,FB&IG,Local,Early Bird,Traffic,Image&Video Link Ads,FALSE,2025/9/24,2025/10/11,18,7.48%,"16,076",$893 ,CPC,$4.35 ,-,$0.29 ,-,-,"3,695,391",-,"56,368",0.98%,-,-
WE,ES,,Meta,,FB&IG,Local,Early Bird,,ASC,FALSE,2025/9/24,2025/10/11,18,31.60%,"67,949","$3,775 ",CPA,$4.52 ,-,$0.85 ,$13.52 ,22,"15,039,171",-,"80,097",0.38%,"5,026","$1,507,864 "
WE,ES,,Meta,,FB&IG,Local,First sales,Awareness,Image&Video Link Ads,FALSE,2025/10/12,2025/10/16,5,0.79%,"1,700",$340 ,CPM,$0.77 ,-,-,-,-,"2,201,094",-,-,-,-,-
WE,ES,,Meta,,FB&IG,Local,First sales,Video Views,Video Link Ads,FALSE,2025/10/12,2025/10/16,5,0.23%,500,$100 ,CPV,$7.47 ,$0.01 ,-,-,-,"66,975","38,462",-,-,-,-
WE,ES,,Meta,,FB&IG,Local,First sales,Traffic,Image&Video Link Ads,FALSE,2025/10/12,2025/10/16,5,0.28%,600,$120 ,CPC,$4.35 ,-,$0.29 ,-,-,"137,918",-,"2,104",0.98%,-,-
WE,ES,,Meta,,FB&IG,Local,First sales,,ASC,FALSE,2025/10/12,2025/11/2,22,4.59%,"9,862",$448 ,CPA,$4.52 ,-,$0.85 ,$13.52 ,22,"2,182,747",-,"11,625",0.38%,729,"$218,848 "
WE,ES,,Meta,,FB&IG,Local,Black Friday,Traffic,Image&Video Link Ads,FALSE,2025/11/3,2025/11/30,28,10.89%,"23,423",$837 ,CPC,$4.35 ,-,$0.29 ,-,-,"5,384,110",-,"82,128",0.98%,-,-
WE,ES,,Meta,,FB&IG,Local,Black Friday,,ASC,FALSE,2025/11/3,2025/11/30,28,17.07%,"36,696","$1,311 ",CPA,$4.52 ,-,$0.85 ,$13.52 ,22,"8,121,923",-,"43,257",0.38%,"2,714","$814,324 "
WE,ES,,Meta,,FB&IG,CO-MKT,Open sales,Awareness,Image&Video Link Ads,FALSE,2025/10/12,2025/10/31,20,26%,"$10,000 ",$500.00 ,CPM,$0.77 ,-,-,-,-,"12,947,610",-,-,-,-,-
